;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTOPTA999010;Support the Conservative parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999010;Support the Reactionary parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999010;Support the Liberal parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999010;Let the campaigns take their course and do not intervene.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTE999011;Support the Anarcho-Liberal parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTF999012;Support the Socialist parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTG999014;Support the Communist parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTH999015;Support the Fascist parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999020;Calm Elections;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999020;The remaining election campaign of $YEAR$ has been unusually quiet. The political parties have had no pressing issues which have gripped the country's attention,  and the election seems to be passing without any national debates or events.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999020;There shall be peace and quite in our time.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999021;Violent Elections;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999021;The election campaign of $YEAR$ has been unusually violent. Only a few days after the campaign had begun, the first incidents started. Strikes occured in several large factories, with incidents of streetfighting in most major cities. Paramilitary groups have threatened voters of opposing ideologies, while radicals have staged attacks on political enemies. The $COUNTRY_ADJ$ police are tirelessly to get the situation under control, but it looks as if $COUNTRY$ is in for a contentious election.;;;;;;;;;;;;;x,,,,,,
EVTOPTA999021;Outrageous!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999022;Riots!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999022;The tensions from the current election campaign have escalated, with disorder spreading fast in $CAPITAL$ and spreading elsewhere. Advisors are recommending that the military be brought into the capital to restore order, though doing so will only contain the violence at best.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA999022;Send in the army. Order must be restored.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999022;Let the riots play their course.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999030;Surge Of Socialism;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999030;It looks like the socialists have a talent in the current election to find the right words when and where they are needed: All over $COUNTRY$ their new agenda has persuaded a lot of people to join their cause.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999030;We will have an eye on this.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999031;Surge Of Communism;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999031;It looks like the communists have a talent in the current election to find the right words when and where they are needed: All over $COUNTRY$, their new agenda has persuaded a lot of people to join their cause.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999031;We will have an eye on this.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999032;Surge Of Fascism;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999032;It looks like the fascists have a talent in the current election to find the right words when and where they are needed: All over$COUNTRY$, their new agenda has persuaded a lot of people to join their cause.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999032;We will have an eye on this.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999033;Surge Of Liberalism;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999033;It looks like the liberals have a talent in the current election to find the right words when and where they are needed: All over $COUNTRY$ their new agenda has persuaded a lot of people to join their cause.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999034;The Anarcho-Liberals;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999034;It looks like the anarcho liberals, a group of radicals who have taken the liberal ideals to their extreme, have discovered a talent in the current election to find the right words when and where they are needed: All over $COUNTRY$ their new agenda has persuaded a lot of people to join their cause.;;;;;;;;;;;;x,,,,,,,,
EVTNAME999035;The Social Liberals;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999035;A new breed of $COUNTRY_ADJ$ liberals has become very active in the current election-- educated liberals who believe equally in both social and political reform. They have been actively campaigning for people to support both, and have been attracting a lot of attention.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME999036;Reactionary Surge;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999036;There are a large number of people, particularly among the ruling elite of $COUNTRY$, who believe that liberal attitudes have been responsible for all of the country's ills. They advocate controls on immigration and a repeal of voting rights. They also appear to have charismatic speakers, for they seem to be gathering a lot of attention in the current election.;;;;;;;;;;;;x,,,,,,,
EVTNAME999037;Surge of Conservatism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999037;It looks like the conservatives have discovered a talent in the current election to find the right words when and where they are needed: All over $COUNTRY$ their agenda has persuaded a lot of people to join their cause.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999040;National Debate: Voting Rights;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999040;'Why should only the rich be allowed to vote? We also pay taxes, so why shouldn't we have something to say in politics?' \n\nThe industrial revolution has empowered the middle class. More and more businessmen are making more and more money. It seems only natural that they demand voting rights.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999040;They are right - support their reform.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999040;Voting rights for the middle class? Nay!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999040;A reform is long past due - issue a new voting right.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999041;Voting Rights Discussion;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999041;'...and mind you, we even pay way higher taxes then they do! Still, their votes are worth more than ours - I ask you: is that really fair?' \n\nWhile being allowed to vote, the middle class feels diminished by the current weighted voting rights, and the subject has been repeatedly raised in the current election.;;;;;;;;;;;;;x,,,,,,
EVTOPTA999041;Sounds like a good idea, I guess.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB999041;Stop these ungrateful wretches!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999041;We shall do this right away!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999042;Voting Rights Discussion;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999042;'Why is everyone trying to keep us out of politics? Because we are uneducated? They call us minors, but that is a lie! Our sweet and toil has brought the nation forward! We have waited long enough - now we demand our just due!' \n\nThe subject of voting rights for the poor has been repeatedly raised in the current election.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999042;Better late then never.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999042;Better never than ever.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999042;Better now than later.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999043;Voting Rights Discussion;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999043;'We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty, and the Pursuit of Happiness. That to secure these rights, Governments are instituted among Men, deriving their just powers from the consent of the governed' \n - Thomas Jefferson;;;;;;;;;;;;;x,,,
EVTOPTA999043;A rightful initiative.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999043;Enough is enough! Stop that nonsense!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999043;Equal votes for equal chances - NOW!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999044;Right In The Face;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999044;'They have beaten me, again and again. Why? Because I am a proud citizen who will speak the truth! I don't believe that the ruling party will save us. And my weapon is logic, but theirs is the stick.'\n\nThe issue of political party harassment has been repeatedly raised in the current election.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA999044;This has to stop!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999044;There is no need to change the system.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999045;Election Fraud!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999045;'Why are they allowed to change the rules during an election? Drawing random borders to scatter those who won't vote for them is not fair. It is fraud, I tell you! They divided our district between four others, because they knew how we would vote. FRAUD! That's what it is, I tell you!'\n\nThe issue of voter district gerrymandering has been repeatedly raised in the current election.;;;;;;;;;;;;;x,,,,,,,
EVTOPTA999045;You are right, we have to do something.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB999045;Want me to play the world's smallest violin?;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999046;Request For Privacy;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999046;'Why does everyone stare at me when I make my vote? Do they really need to know? It is not like I am committing a crime or something, I simply want to vote in peace. Without having half of the polling station looking at me, that is.';;;;;;;;;;;;;x,,,,,,,,
EVTOPTA999046;I guess some privacy would be in order.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999046;What's next? Blindfolds?;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999049;National Debate: Unemployment;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999049;The election is almost over, but liberals and socialists are still arguing about the current state of affairs. Unemployment is a problem, but both sides have decisive arguments for what they think has to be done.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA999049;The liberals are right!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999049;The socialists are right!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999049;Do not get involved in the debate.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999050;Unemployment Issues;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999050;Unemployment is still an important issue in $COUNTRY$, but all our recent attempts to crate new jobs have failed. During the election of $YEAR$, communists and fascists argued that their dogma is the only one that will give work to the people.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA999050;Communism is our only hope!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999050;Fascism is our only hope!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999050;Social reform can be achieved without radicalism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999049;Do not get involved in the debate.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999055;The Child Labor Issue;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999055;A recent mine accident that led to the deaths of five children, all labourers working under the $COUNTRY_ADJ$ child labor laws, has led to a national debate over the issue. Children wearing protest signs have shown up at political debates, causing quite a stir and raising the question over whether the government should consider reform.;;;;;;;;;;;;x,,,,,,,
EVTNAME999056;The Rights of Minorities;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999056;A demonstration by minorities in $CAPITAL$, denouncing the fact that 'universal suffrage' in $COUNTRY$ does not include them, has drawn attention throughout the country and sparked debates over whether minorities should be given the right to vote. Reactionaries are incensed at the idea, claiming that only 'true' $COUNTRY_ADJ$ citizens should decide its government.;;;;;;;;;;;;x,,,,,,,
EVTNAME999057;The Immigration Issue;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999057;Immigration has long been a thorny issue in $COUNTRY$, with many citizens maintaining the opinion that allowing too many foreigners into the country leads to chaos and unemployment. $COUNTRY$ should be for the $COUNTRY_ADJ$ people, and no others. Despite this, the plight of immigrants who are longing to be reunited with family currently located elsewhere has received a great deal of attention in the current election. There have been demonstrations by liberals in $CAPITAL$ calling for immigration reform.;;;;;;;;;;;;x,,,,,,,
EVTNAME999060;War Dominates the Election;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999060;So far the war has dominated talk in the election, with a number of jingoistic politicians rousing the people with fiery speeches. 'We must protect $COUNTRY$!', they cry. '$COUNTRY$ must be mighty!' It seems they are being listened to, as so far they have enjoyed success throughout the country.;;;;;;;;;;;;x,,,,,,,
EVTNAME999061;Talk of War;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999061;While $COUNTRY$ is not currently at war, there are those who think it should be. 'They are ripe for the picking, and $COUNTRY$ must strike now! While we are strong!' They are referring to one of our hated neighbours, who some jingoists feel should be a target for expansion. Permitting such talk will make us look aggressive to the international community, however, though it may also be an opportunity of which to take advantage.;;;;;;;;;;;;x,,,,,
EVTNAME999065;The Slavery Debate;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC999065;A recent incident involving the death of several slaves at the hands of their owner has gained national attention in the $COUNTRY_ADJ$ election, with both sides pouncing on the debate. Abolitionists say that this is but one more example of slavery being responsible for the inhumane treatment of one's fellow man. Proponents claim this is a matter for the courts to resolve, and accuse the Abolitionists of stirring up an isolated incident.;;;;;;;;;;;;x,,,,,,,,
EVTNAME160001;Anarchy in the South;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160001;We are receiving disturbing reports of anarchy in southern China. A peasant army led by the rebels Feng Yunshan and Wei Changhui has declared the ascendance of the so-called 'Heavenly Kingdom' and driven out local governors. All within the Qin government agree that we cannot recognize these rebels as having credence-- if we do, it raises the question of whether the Mandate of Heaven is still held by the Imperial throne. That cannot be allowed, and thus the governors must be given the opportunity to crush the rebels and restore order in the Emperor's name.;;;;;;;;;;;;x,,,,,,,,
EVTNAME1600010;The Taiping Rebellion;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1600010;It is as we feared-- the so-called 'Heavenly Kingdom' has assumed control of lands in the south, and any attempts by the local governors to resume authority have failed. It is an embarassment to the prestige of the Imperial throne that we must deign to recognize that these rebels exist and must be dealt with once and for all. Some are even beginning to question the Mandate of Heaven if such a threat is possible. If we do not act, however, the rebels will surely gain control over not only the south but perhaps all of China.;;;;;;;;;;;;x,,,,,,,
EVTNAME1605020;The Death of Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC1605020;After a period of self-enforced isolation, Hong Xiuquan has died-- some say of poison, others of illness. Regardless of the cause, the nation has been thrown into mourning for their beloved leader. Hong Xiuquan's son, Hong Tianguifu, is ready to step into his father's role as leader, but there are some who fear he will be unsuitable. They are advocating a restoration of the Qin dynasty. Others say that $COUNTRY$ must become a republic, in emulation of western powers. Whether $COUNTRY$ is ready for such a change is difficult to say.;;;;;;;;;;;;x,,,
EVTNAME11380019;Constitutional Crisis;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11380019;In a surprise election win, the fascists have taken power in the government. Technically they are allowed to do so, and their party has not been banned. There are concerns, however, that their ultimate goal is to take over the $COUNTRY_ADJ$ government and that this election win is just the first step in doing so. Some are even suggesting the possibility of voter fraud. Regardless, the $COUNTRY_ADJ$ people have spoken... and the monarchy must decide whether to intervene and refuse the fascists their mandate as many expect. Failure to intervene means admitting that they have no power and thus relinquishing all control over the government.;;;;;;;;;;;;x,,,,,
EVTDESC11380020;In a surprise election win, the communists have taken power in the government. Technically they are allowed to do so, and their party has not been banned. There are concerns, however, that their ultimate goal is to take over the $COUNTRY_ADJ$ government and that this election win is just the first step in doing so. Some are even suggesting the possibility of voter fraud. Regardless, the $COUNTRY_ADJ$ people have spoken... and the monarchy must decide whether to intervene and refuse the communists their mandate as many expect. Failure to intervene means admitting that they have no power and thus relinquishing all control over the government.;;;;;;;;;;;;x,,,,,
EVTDESC11380021;In a surprise election win, the anarcho-liberals have taken power in the government. Technically they are allowed to do so, and their party has not been banned. There are concerns, however, that their ultimate goal is to take over the $COUNTRY_ADJ$ government and that this election win is just the first step in doing so. Some are even suggesting the possibility of voter fraud. Regardless, the $COUNTRY_ADJ$ people have spoken... and the monarchy must decide whether to intervene and refuse these radical republicans their mandate as many expect. Failure to intervene means admitting that they have no power and thus relinquishing all control over the government.;;;;;;;;;;;;x,,,,,
EVTDESC11380022;In a surprise election win, the communists have taken power in the government-- despite the fact that their party opposes the monarchy and has been banned. Regardless, the $COUNTRY_ADJ$ people have spoken, and thus a political showdown has resulted: the communists cannot be permitted to win, but even if they're refused the next election might simply have the same crisis occur all over again. Perhaps the time has come to reconsider electoral reforms and put the power back where it belongs?;;;;;;;;;;;;x,,,,,,
EVTDESC11380023;In a surprise election win, the anarcho-liberals have taken power in the government-- despite the fact that their party opposes the monarchy and has been banned. Regardless, the $COUNTRY_ADJ$ people have spoken, and thus a political showdown has resulted: these radical republicans cannot be permitted to win, but even if they're refused the next election might simply have the same crisis occur all over again. Perhaps the time has come to reconsider electoral reforms and put the power back where it belongs?;;;;;;;;;;;;x,,,,,,
EVTNAME152009872;$COUNTRY_ADJ$ Coup?;;;;;;;;;;;;;x,,,,,,,,,,
